% WING GEOMETRY INPUT DATA(2 MACRO-PANELS PER SEMI-SPAN),ALL MEASURES IN METRES AND DEGREES,SPACE IS THE DIVIDER
% MIND THAT CHORD_OUT_INNER MUST BE EQUAL TO CHORD_IN_OUTER
% MIND THAT TWIST_ANGLE_OUT_INNER MUST BE EQUAL TO TWIST_ANGLE_IN_OUTER
% INNER PANEL DATA FIRST (NEAREST TO AXIS OF SIMMETRY) THEN OUTER PANEL DATA

SPAN_LENGTH SWEEP_ANGLE DIHEDRAL_ANGLE TWIST_ANGLE_IN TWIST_ANGLE_OUT CHORD_IN CHORD_OUT
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.1000 0 0 -5  -5 0.2 0.2
0.0900 0 0 -5  -5 0.2 0.2
0.0900 0 0 -5  -5 0.2 0.2
0.0900 0 0 -5  -5 0.2 0.2
0.0900 0 0 -5  -5 0.2 0.2
0.0800 0 0 -5  -5 0.2 0.2
0.0800 0 0 -5  -5 0.2 0.2
0.0800 0 0 -5  -5 0.2 0.2
0.0800 0 0 -5  -5 0.2 0.2
0.0765 0 0 -5  -5 0.2 0.2
0.0765 0 0 -5  -5 0.2 0.2
0.0760 0 0 -5  -5 0.2 0.2
0.0740 0 0 -5  -5 0.2 0.2
0.0710 0 0 -5  -5 0.2 0.2
0.0690 0 0 -5  -5 0.2 0.2
0.0670 0 0 -5  -5 0.2 0.2
0.0600 0 0 -5  -5 0.2 0.2
0.0570 0 0 -5  -5 0.2 0.2
0.0540 0 0 -5  -5 0.2 0.2
0.0480 0 0 -5  -5 0.2 0.2
0.0440 0 0 -5  -5 0.2 0.2
0.0380 0 0 -5  -5 0.2 0.2
0.0330 0 0 -5  -5 0.2 0.2
0.0270 0 0 -5  -5 0.2 0.2
0.0210 0 0 -5  -5 0.2 0.2
0.0160 0 0 -5  -5 0.2 0.2
0.0120 0 0 -5  -5 0.2 0.2
